"id","caseNumber","serviceType","incidentType","source","occurredDate","receivedDate","completedDate","assignment","allegation","disposition","residentIdentifier","residentRole","residentRace","residentSex","residentAge","officerIdentifier","officerRace","officerSex","officerAge","officerYearsOfService"
"e24c09b29a178685f20fbd481df310bd","2015-0724","","External Complaints","Attorney","2015-06-05 00:00:00","2015-11-19 00:00:00","2016-06-01 00:00:00","Northwestern District","Lawsuit Filed","Not Sustained","86f205714a104b9730cc7a0dd099b007","Complainant","Unknown","Female","57","8f331e2dd6cfb8d0868a873062018238","Other","Male","23","1"
"93e4362d5a5f30ab9cb7ee325176094d","2015-0733","On View","External Complaints","Citizen","2015-11-19 00:00:00","2015-11-30 00:00:00","2016-11-29 00:00:00","Northeastern District","Excessive Force","Not Sustained","18cf825ec6c8330ec39b09fbcf5d6f11","Complainant","Black","Male","","d482a60ce7927411538c458a204e355f","Amer-Indian","Male","41","16"
"6ae039319a7aedeff80fc08041508a9b","2015-0737","","Ethics","","2015-11-28 00:00:00","2015-12-01 00:00:00","2016-06-27 00:00:00","Northwestern District","Misconduct/VCS Assault","Not Sustained","3f969e98ddd451c095aafc73369fd0b8","Witness","","","","d5cda7716c17270f9c6abc08712bc75b","Black","Female","44","25"
"3a4cc4cbbe49eef5a01afa54201a8ae9","2018-0628","Call for Service","External Complaints","Phone Call","2018-10-21 00:00:00","2018-10-23 00:00:00","","Eastern District","Harassment","","f9e80a9b7075303526156ac0e879f3ab","Complainant","Black","Male","65","","White","Male","",""
"6a6d6af02fd61670f50392bba88996d4","2018-0627","","External Complaints","Phone Call","2018-10-22 00:00:00","2018-10-23 00:00:00","","Southwest District","Improper Stop/Search/Seizure","","66306b1d35ffcb3ce2db312f59e9a9fe","Complainant","Black","Male","","a5c4f9449005f1afaf74d50eeea7c075","White","Male","24","2"
"7435298be8b676e3266021ad71d745e3","2016-0622","Call for Service","External Complaints","Agency Member","2016-12-10 00:00:00","2016-12-10 00:00:00","2017-10-26 00:00:00","Northern District","Misconduct/General","Exonerated","37e4d4b64c52498eb1d3ef1a334d9365","Witness","","","","459e47580bd9d6135c35643db6471adb","African Amer","Male","35","15"
"6ae039319a7aedeff80fc08041508a9b","2015-0737","","Ethics","","2015-11-28 00:00:00","2015-12-01 00:00:00","2016-06-27 00:00:00","Northwestern District","Misconduct/VCS Assault","Not Sustained","922773ca588d68bdc04115cd3f8fd10f","Witness","","","","d5cda7716c17270f9c6abc08712bc75b","Black","Female","44","25"
"91dbf8405381750568688c333aa7cf28","2019-0442","","External Complaints","Kga","2019-03-12 00:00:00","2019-03-12 00:00:00","","","Neglect/General","","239cbbd2cff78e041b6a0cba6f0ead04","Complainant","East-Indian","Male","","","","","",""
"6d000dd78d52103896f0b7a8fe6d0d88","2018-0521","","External Complaints","Agency Member","2018-09-06 00:00:00","2018-09-06 00:00:00","","Domestic Violence/Elder Abuse","Neglect/General","","3bcbf4919849faa776d441160598ffac","Complainant","","","","4f32beaebb79500de57f5ddabaa4e281","African Amer","Male","35","16"
"631db4e84b158d1e21aa24bab499b264","2016-0644","","External Complaints","Citizen","2016-12-21 00:00:00","2016-12-22 00:00:00","2017-10-16 00:00:00","Eastern District","Neglect/BWC","Sustained","6788184b5ab94c3bb7dff7c95c9d478b","Complainant","Black","Male","","525d20856a5f17e3b8e12b6af4d2ff5a","African Amer","Male","30","5"
