"id","receivedDate","division","district","shift","serviceType","source","allegationType","allegation","finding","disposition","residentId","residentRace","residentSex","residentAge","officerIdentifier","officerRace","officerSex","officerAge","officerYearsOfService"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Conduct on and Off Duty","Sustained","","Aaa51d42c9936d8895b44eabd554178a","","Male","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Consume Alcohol While in Uniform","Sustained","","01a7b99d4c634438789d6da0b7038eae","","Female","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Misconduct","None","","Aaa51d42c9936d8895b44eabd554178a","","Male","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Commit a Misdemeanor Crime","None","","1cbd27b5b7355f7cd10248740cc0c9ff","","Male","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Commit a Misdemeanor Crime","None","","Aaa51d42c9936d8895b44eabd554178a","","Male","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Commit a Misdemeanor Crime","Sustained","","1cbd27b5b7355f7cd10248740cc0c9ff","","Male","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Commit a Misdemeanor Crime","Sustained","","Aaa51d42c9936d8895b44eabd554178a","","Male","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Misconduct","None","","83f159ffdb606858f3068bc4bcc85974","","Female","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Conduct on and Off Duty","Sustained","","1cbd27b5b7355f7cd10248740cc0c9ff","","Male","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Conduct on and Off Duty","Sustained","","83f159ffdb606858f3068bc4bcc85974","","Female","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Consume Alcohol While in Uniform","Sustained","","1cbd27b5b7355f7cd10248740cc0c9ff","","Male","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Consume Alcohol While in Uniform","Sustained","","83f159ffdb606858f3068bc4bcc85974","","Female","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Consume Alcohol While in Uniform","Sustained","","Aaa51d42c9936d8895b44eabd554178a","","Male","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"500c475638a585b4941507b8fd87ac87","2011-03-03 00:00:00","Field Services","Patrol North","","","","Internal Investigation","Misconduct","None","","1cbd27b5b7355f7cd10248740cc0c9ff","","Male","","99bcb18641fcfb5cdb528297e6cf8767","White","Female","40","13"
"3a30af318fd1fc6380384fa54257b952","2013-10-03 00:00:00","Field Services","Patrol East","Scat","","Blueteam","External Investigation","Complete and Thorough Investigation","Sustained","","2c4ac4a74319e10f1365d66136a271c8","Asian","Female","31","Ce45bf7b18778da2226ff3d30e9a0af9","White","Male","30","7"
"3a30af318fd1fc6380384fa54257b952","2013-10-03 00:00:00","Field Services","Patrol East","Scat","","Blueteam","External Investigation","Use Good Judgment","Withdrawn","","2c4ac4a74319e10f1365d66136a271c8","Asian","Female","31","B41fdaa6c129c651d2ff643ebcad0666","White","Male","31","5"
"3a30af318fd1fc6380384fa54257b952","2013-10-03 00:00:00","Field Services","Patrol East","Scat","","Blueteam","External Investigation","Complete and Thorough Investigation","Sustained","","2c4ac4a74319e10f1365d66136a271c8","Asian","Female","31","B41fdaa6c129c651d2ff643ebcad0666","White","Male","31","5"
"3a30af318fd1fc6380384fa54257b952","2013-10-03 00:00:00","Field Services","Patrol East","Scat","","Blueteam","External Investigation","Rude Conduct With Citizen","Not Sustained","","2c4ac4a74319e10f1365d66136a271c8","Asian","Female","31","Ce45bf7b18778da2226ff3d30e9a0af9","White","Male","30","7"
"3a30af318fd1fc6380384fa54257b952","2013-10-03 00:00:00","Field Services","Patrol East","Scat","","Blueteam","External Investigation","Unlawful Search 409.07","Sustained","","2c4ac4a74319e10f1365d66136a271c8","Asian","Female","31","B41fdaa6c129c651d2ff643ebcad0666","White","Male","31","5"
"3a30af318fd1fc6380384fa54257b952","2013-10-03 00:00:00","Field Services","Patrol East","Scat","","Blueteam","External Investigation","","","Sustained","2c4ac4a74319e10f1365d66136a271c8","Asian","Female","31","B41fdaa6c129c651d2ff643ebcad0666","White","Male","31","5"
